comp_id,comp_name,year,month,date_from,date_to,country_code,city,comp_type,disciplines
1486,Malaysia National Championships (50m),2021,6,2021-06-11T00:00:00Z,2021-06-13T00:00:00Z,MAS,Kuala Lumpur,Open,SW
1487,Puerto Rico International Swimming Open,2021,5,2021-05-20T00:00:00Z,2021-05-23T00:00:00Z,PUR,Salinas,Open,SW
1491,Sydney Open 2021,2021,5,2021-05-13T00:00:00Z,2021-05-16T00:00:00Z,AUS,Sydney,Open,SW
1494,Akropolis Swimming Grand Prix,2021,5,2021-05-28T00:00:00Z,2021-05-30T00:00:00Z,GRE,Athens,Open,SW
1495,Diddelenger Schwammfest 2021,2021,5,2021-05-01T00:00:00Z,2021-05-02T00:00:00Z,LUX,Dudelange,Open,SW
1498,Bulgarian Open Championships,2021,6,2021-06-24T00:00:00Z,2021-06-27T00:00:00Z,BUL,Sofia,Open,SW
1499,Turkcell Turkish Youth Junior and Open Summer Nationals,2021,6,2021-06-22T00:00:00Z,2021-06-26T00:00:00Z,TUR,Edirne,Open,SW
1501,CIJ Meet LUX 2021,2021,6,2021-06-18T00:00:00Z,2021-06-20T00:00:00Z,LUX,Luxembourg,Open,SW
1514,Grand Prix Liberec,2021,6,2021-06-04T00:00:00Z,2021-06-06T00:00:00Z,CZE,Liberec,Open,SW
1515,Japan Open 2021 (50m),2021,6,2021-06-03T00:00:00Z,2021-06-06T00:00:00Z,JPN,Tokyo,Open,SW
1522,Christmas Prize Zlin,2021,11,2021-11-26T00:00:00Z,2021-11-28T00:00:00Z,CZE,Zlin,Open,SW
1527,AXIS Cup 2021,2021,10,2021-10-30T00:00:00Z,2021-10-31T00:00:00Z,CZE,Jihlava,Open,SW
1529,Open Arena Grand Prix,2021,10,2021-10-23T00:00:00Z,2021-10-24T00:00:00Z,POL,Lodz,Open,SW
1530,Czech Swimming Arena Cup Plzenske Sprinty,2021,10,2021-10-15T00:00:00Z,2021-10-17T00:00:00Z,CZE,Plzen,Open,SW
1531,Open Arena Grand Prix,2021,10,2021-10-09T00:00:00Z,2021-10-10T00:00:00Z,POL,Oswiecim,Open,SW
1533,Canadian Combined Swimming Championships 2021 - CANCELLED,2021,7,2021-07-26T00:00:00Z,2021-08-01T00:00:00Z,CAN,Calgary,Open,SW
1601,Latvian Open Swimming Championship (25m),2021,6,2021-06-18T00:00:00Z,2021-06-20T00:00:00Z,LAT,Valmiera,Open,SW
1603,Reykjavik International Games,2021,2,2021-02-05T00:00:00Z,2021-02-07T00:00:00Z,ISL,Reykjavik,Open,SW
1605,Open Nationals (50m),2020,12,2020-12-22T00:00:00Z,2020-12-23T00:00:00Z,FIJ,Suva,Open,SW
1607,Open de Jamor,2020,12,2020-12-19T00:00:00Z,2020-12-20T00:00:00Z,POR,Jamor,Open,SW
1608,Winter Challenge,2020,12,2020-12-18T00:00:00Z,2020-12-20T00:00:00Z,SUI,Zurich,Open,SW
1610,Italian Open Swimming Championships,2020,12,2020-12-17T00:00:00Z,2020-12-20T00:00:00Z,ITA,Riccione,Open,SW
1616,XIV Gyor Open,2020,12,2020-12-16T00:00:00Z,2020-12-19T00:00:00Z,HUN,Gyor,Open,SW
1618,Winter Olympic Qualifying Meet,2020,12,2020-12-12T00:00:00Z,2020-12-13T00:00:00Z,MLT,Girza,Open,SW
1619,McDonald’s Queensland Championships 2020,2020,12,2020-12-12T00:00:00Z,2020-12-18T00:00:00Z,AUS,Brisbane,Open,SW
1620,NSW Senior State Age Championships 2020,2020,12,2020-12-12T00:00:00Z,2020-12-17T00:00:00Z,AUS,Sydney,Open,SW
1624,Kuopio Invitational,2020,12,2020-12-06T00:00:00Z,2020-12-06T00:00:00Z,FIN,Kuopio,Open,SW
1625,Trofeo Castellon 2020,2020,12,2020-12-05T00:00:00Z,2020-12-06T00:00:00Z,ESP,Castellon,Open,SW
1626,Singapore National Olympic Qualifier,2020,12,2020-12-03T00:00:00Z,2020-12-06T00:00:00Z,SGP,Singapore,Open,SW
1628,Rotterdam Qualification Meet 2020,2020,12,2020-12-03T00:00:00Z,2020-12-06T00:00:00Z,NED,Rotterdam,Open,SW
1629,Uzbekistan Open Swimming Championships,2020,11,2020-11-24T00:00:00Z,2020-11-29T00:00:00Z,UZB,Tashkent,Open,SW
1635,Finnish Open Grand Prix,2020,11,2020-11-14T00:00:00Z,2020-11-15T00:00:00Z,FIN,Oulu,Open,SW
1637,Campeonato Nacional 1ra Etapa,2020,11,2020-11-11T00:00:00Z,2020-11-14T00:00:00Z,PAR,Asuncion,Open,SW
1638,"8th International Sprint Festival ""Riga Sprint 2020""",2020,11,2020-11-06T00:00:00Z,2020-11-07T00:00:00Z,LAT,Riga,Open,SW
1639,Grand Prix Burgas,2020,11,2020-11-06T00:00:00Z,2020-11-08T00:00:00Z,BUL,Burgas,Open,SW
1640,North Sea Swim Meet 2020,2020,10,2020-10-30T00:00:00Z,2020-11-01T00:00:00Z,NOR,Stavanger,Open,SW
1645,HPC-trainingswedstrijd,2020,10,2020-10-17T00:00:00Z,2020-10-18T00:00:00Z,NED,Amsterdam,Open,SW
1648,Spring Prix of Zilina,2020,10,2020-10-09T00:00:00Z,2020-10-11T00:00:00Z,SVK,Zilina,Open,SW
1649,6th International Tournament Briz,2020,10,2020-10-09T00:00:00Z,2020-10-11T00:00:00Z,BUL,Burgas,Open,SW
1652,Martti Ollgren Uinnit,2020,9,2020-09-26T00:00:00Z,2020-09-26T00:00:00Z,FIN,Tampere,Open,SW
1653,Speedo Cup,2020,9,2020-09-19T00:00:00Z,2020-09-20T00:00:00Z,FIN,Espoo,Open,SW
1654,Black Sea Cup Third Edition 2020,2020,9,2020-09-04T00:00:00Z,2020-09-09T00:00:00Z,BUL,Varna,Open,SW
1655,Bulgarian Open Championships,2020,8,2020-08-27T00:00:00Z,2020-08-30T00:00:00Z,BUL,Sofia,Open,SW
1656,Hengelo Long Course Challenge,2020,8,2020-08-12T00:00:00Z,2020-08-14T00:00:00Z,NED,Hengelo,Open,SW
1658,Age Group National Championships,2020,8,2020-08-07T00:00:00Z,2020-08-09T00:00:00Z,CRO,Zagreb,Open,SW
1659,101st Estonian Open Championships (50m),2020,8,2020-08-04T00:00:00Z,2020-08-06T00:00:00Z,EST,Tartu,Open,SW
1661,Ravne 20,2020,8,2020-08-01T00:00:00Z,2020-08-02T00:00:00Z,SLO,Ravne,Open,SW
1663,Open Cup of Belarus,2020,7,2020-07-14T00:00:00Z,2020-07-18T00:00:00Z,BLR,Brest,Open,SW
1665,Tampereen Avoimet Mestaruusunnit,2020,6,2020-06-13T00:00:00Z,2020-06-13T00:00:00Z,FIN,Tampere,Open,SW
1666,Zhong-Zheng Cup National Swimming Championships 2020,2020,6,2020-06-10T00:00:00Z,2020-06-15T00:00:00Z,TPE,Taichung City,Open,SW
1667,SH Asvallamot,2020,3,2020-03-14T00:00:00Z,2020-03-15T00:00:00Z,ISL,Hafnarfjordur,Open,SW
1668,Essener Swim and Fun Days,2020,3,2020-03-13T00:00:00Z,2020-03-15T00:00:00Z,GER,Essen,Open,SW
1669,Edinburgh International Swim Meet,2020,3,2020-03-13T00:00:00Z,2020-03-15T00:00:00Z,GBR,Edinburgh,Open,SW
1670,Turkish Turkcell National Team Selection Meet (50m),2020,3,2020-03-11T00:00:00Z,2020-03-15T00:00:00Z,TUR,Erdine,Open,SW
1671,National Championships Teams,2020,3,2020-03-07T00:00:00Z,2020-03-08T00:00:00Z,CRO,Split,Open,SW
1672,Antwerp Diamond Speedo Race,2020,3,2020-03-07T00:00:00Z,2020-03-08T00:00:00Z,BEL,Antwerp,Open,SW
1674,Grand Prix Slovakia,2020,3,2020-03-06T00:00:00Z,2020-03-08T00:00:00Z,SVK,Bratislava,Open,SW
1675,Swedish Grand Prix 2020,2020,3,2020-03-06T00:00:00Z,2020-03-08T00:00:00Z,SWE,Malmoe,Open,SW
1680,Berlin Swim Open 2020,2020,2,2020-02-28T00:00:00Z,2020-03-01T00:00:00Z,GER,Berlin,Open,SW
1681,Latvian Open Swimming Championships,2020,2,2020-02-28T00:00:00Z,2020-03-01T00:00:00Z,LAT,Riga,Open,SW
1683,Flemish Championships 2020,2020,2,2020-02-21T00:00:00Z,2020-02-23T00:00:00Z,BEL,Antwerp,Open,SW
1685,South Africa Grand Prix - KZ 2020,2020,2,2020-02-21T00:00:00Z,2020-02-23T00:00:00Z,RSA,Durban,Open,SW
1689,Speedo-FFBN Open Championships 2020,2020,2,2020-02-15T00:00:00Z,2020-02-16T00:00:00Z,BEL,Charleroi,Open,SW
1690,Madwave Challenge,2020,2,2020-02-15T00:00:00Z,2020-02-16T00:00:00Z,EST,Tartu,Open,SW
1691,18th Meeting del Titano,2020,2,2020-02-15T00:00:00Z,2020-02-16T00:00:00Z,SMR,Serravalle,Open,SW
1693,"HPS HEP Grand Prix ""Victoria""",2020,2,2020-02-08T00:00:00Z,2020-02-09T00:00:00Z,CRO,Rijka,Open,SW
1697,South Africa Grand Prix - CT 2020,2020,1,2020-01-31T00:00:00Z,2020-02-02T00:00:00Z,RSA,Cape Town,Open,SW
1699,Reykjavik International Games,2020,1,2020-01-24T00:00:00Z,2020-01-26T00:00:00Z,ISL,Reykjavik,Open,SW
1701,Flanders Swimming Cup 2020,2020,1,2020-01-18T00:00:00Z,2020-01-19T00:00:00Z,BEL,Antwerp,Open,SW
1703,International Swimming Meet Apostolos Pavlos 2020,2020,1,2020-01-17T00:00:00Z,2020-01-19T00:00:00Z,GRE,Kavala,Open,SW
